Sr. no,Product Photo,Group Category,Product Category,Product Sub-Category,Manufacturer Part No,Short Description ,Manufacturer Name,Available packaging,Stock Status,Lead Time,Quantity Available,Qty Min,Qty Multiple,Price,Technical Specification,ROHS,ECCM,HSCode,Datasheet Link
69,https://static.wixstatic.com/media/7db2d6_3651f9ab50774ff3b1150e9c51a068fa~mv2.jpg,Electromechanical Components,Rotary,Rotary,05002-08N,,Grayhill,Bulk,Lead Time,18 weeks,0,1,1,0,0,Yes,EAR 99,,https://www.grayhill.com/documents/5000-Datasheet
70,https://static.wixstatic.com/media/7db2d6_3651f9ab50774ff3b1150e9c51a068fa~mv2.jpg,Electromechanical Components,Rotary,Rotary,05002-09N,,Grayhill,Bulk,Lead Time,18 weeks,0,1,1,0,0,Yes,EAR 99,,https://www.grayhill.com/documents/5000-Datasheet
71,https://static.wixstatic.com/media/7db2d6_3651f9ab50774ff3b1150e9c51a068fa~mv2.jpg,Electromechanical Components,Rotary,Rotary,05002-10N,,Grayhill,Bulk,Lead Time,18 weeks,0,1,1,0,0,Yes,EAR 99,,https://www.grayhill.com/documents/5000-Datasheet
72,https://static.wixstatic.com/media/7db2d6_3651f9ab50774ff3b1150e9c51a068fa~mv2.jpg,Electromechanical Components,Rotary,Rotary,05003-02N,05A36-03-1-02N,Grayhill,Bulk,Lead Time,18 weeks,0,1,1,290.51,0,Yes,EAR 99,,https://www.grayhill.com/documents/5000-Datasheet
73,https://static.wixstatic.com/media/7db2d6_3651f9ab50774ff3b1150e9c51a068fa~mv2.jpg,Electromechanical Components,Rotary,Rotary,05003-03N,,Grayhill,Bulk,Lead Time,18 weeks,0,1,1,0,0,Yes,EAR 99,,https://www.grayhill.com/documents/5000-Datasheet
74,https://static.wixstatic.com/media/7db2d6_3651f9ab50774ff3b1150e9c51a068fa~mv2.jpg,Electromechanical Components,Rotary,Rotary,05003-04N,,Grayhill,Bulk,Lead Time,18 weeks,0,1,1,0,0,Yes,EAR 99,,https://www.grayhill.com/documents/5000-Datasheet
75,https://static.wixstatic.com/media/7db2d6_3651f9ab50774ff3b1150e9c51a068fa~mv2.jpg,Electromechanical Components,Rotary,Rotary,05003-05N,05A36-03-1-05N,Grayhill,Bulk,Lead Time,18 weeks,0,1,1,340.98,0,Yes,EAR 99,,https://www.grayhill.com/documents/5000-Datasheet
76,https://static.wixstatic.com/media/7db2d6_3651f9ab50774ff3b1150e9c51a068fa~mv2.jpg,Electromechanical Components,Rotary,Rotary,05003-06N,,Grayhill,Bulk,Lead Time,18 weeks,0,1,1,0,0,Yes,EAR 99,,https://www.grayhill.com/documents/5000-Datasheet
77,https://static.wixstatic.com/media/7db2d6_3651f9ab50774ff3b1150e9c51a068fa~mv2.jpg,Electromechanical Components,Rotary,Rotary,05003-07N,,Grayhill,Bulk,Lead Time,18 weeks,0,1,1,0,0,Yes,EAR 99,,https://www.grayhill.com/documents/5000-Datasheet
78,https://static.wixstatic.com/media/7db2d6_3651f9ab50774ff3b1150e9c51a068fa~mv2.jpg,Electromechanical Components,Rotary,Rotary,05003-07S,,Grayhill,Bulk,Lead Time,18 weeks,0,1,1,0,0,Yes,EAR 99,,https://www.grayhill.com/documents/5000-Datasheet
79,https://static.wixstatic.com/media/7db2d6_3651f9ab50774ff3b1150e9c51a068fa~mv2.jpg,Electromechanical Components,Rotary,Rotary,05003-08N,,Grayhill,Bulk,Lead Time,18 weeks,0,1,1,0,0,Yes,EAR 99,,https://www.grayhill.com/documents/5000-Datasheet
80,https://static.wixstatic.com/media/7db2d6_3651f9ab50774ff3b1150e9c51a068fa~mv2.jpg,Electromechanical Components,Rotary,Rotary,05003-09N,,Grayhill,Bulk,Lead Time,18 weeks,0,1,1,0,0,Yes,EAR 99,,https://www.grayhill.com/documents/5000-Datasheet
81,https://static.wixstatic.com/media/7db2d6_3651f9ab50774ff3b1150e9c51a068fa~mv2.jpg,Electromechanical Components,Rotary,Rotary,05003-10N,05A36-03-1-10N,Grayhill,Bulk,Lead Time,18 weeks,0,1,1,314.73,0,Yes,EAR 99,,https://www.grayhill.com/documents/5000-Datasheet
82,https://static.wixstatic.com/media/7db2d6_3651f9ab50774ff3b1150e9c51a068fa~mv2.jpg,Electromechanical Components,Rotary,Rotary,05003-10S,,Grayhill,Bulk,Lead Time,18 weeks,0,1,1,0,0,Yes,EAR 99,,https://www.grayhill.com/documents/5000-Datasheet
83,https://static.wixstatic.com/media/7db2d6_3651f9ab50774ff3b1150e9c51a068fa~mv2.jpg,Electromechanical Components,Rotary,Rotary,05004-02N,05A36-04-1-02N,Grayhill,Bulk,Lead Time,18 weeks,0,1,1,332.92,0,Yes,EAR 99,,https://www.grayhill.com/documents/5000-Datasheet
