Sr. no,Product Photo,Group Category,Product Category,Product Sub-Category,Manufacturer Part No,Short Description ,Manufacturer Name,Available packaging,Stock Status,Lead Time,Quantity Available,Qty Min,Qty Multiple,Price,Technical Specification,ROHS,ECCM,HSCode,Datasheet Link
484,https://static.wixstatic.com/media/7db2d6_dc24254e11164bcc930e648144def90d~mv2.jpg,Electromechanical Components,Rotary,Rotary,093113-1-03N,,Grayhill,Bulk,Lead Time,18 weeks,0,1,1,0,0,Yes,EAR 99,,https://www.grayhill.com/documents/09-Datasheet
485,https://static.wixstatic.com/media/7db2d6_dc24254e11164bcc930e648144def90d~mv2.jpg,Electromechanical Components,Rotary,Rotary,093113-2-03N,,Grayhill,Bulk,Lead Time,18 weeks,0,1,1,0,0,Yes,EAR 99,,https://www.grayhill.com/documents/09-Datasheet
486,https://static.wixstatic.com/media/7db2d6_dc24254e11164bcc930e648144def90d~mv2.jpg,Electromechanical Components,Rotary,Rotary,093114-1-03N,,Grayhill,Bulk,Lead Time,18 weeks,0,1,1,0,0,Yes,EAR 99,,https://www.grayhill.com/documents/09-Datasheet
487,https://static.wixstatic.com/media/7db2d6_dc24254e11164bcc930e648144def90d~mv2.jpg,Electromechanical Components,Rotary,Rotary,093114-1-03S,,Grayhill,Bulk,Lead Time,18 weeks,0,1,1,0,0,Yes,EAR 99,,https://www.grayhill.com/documents/09-Datasheet
488,https://static.wixstatic.com/media/7db2d6_dc24254e11164bcc930e648144def90d~mv2.jpg,Electromechanical Components,Rotary,Rotary,093121-1-02N,09A30-01-1-02N,Grayhill,Bulk,Lead Time,18 weeks,0,1,1,41.26,0,Yes,EAR 99,,https://www.grayhill.com/documents/09-Datasheet
489,https://static.wixstatic.com/media/7db2d6_dc24254e11164bcc930e648144def90d~mv2.jpg,Electromechanical Components,Rotary,Rotary,093121-1-03N,09A30-01-1-03N,Grayhill,Bulk,Lead Time,18 weeks,0,1,1,41.62,0,Yes,EAR 99,,https://www.grayhill.com/documents/09-Datasheet
490,https://static.wixstatic.com/media/7db2d6_dc24254e11164bcc930e648144def90d~mv2.jpg,Electromechanical Components,Rotary,Rotary,093121-1-04N,,Grayhill,Bulk,Lead Time,18 weeks,0,1,1,0,0,Yes,EAR 99,,https://www.grayhill.com/documents/09-Datasheet
491,https://static.wixstatic.com/media/7db2d6_dc24254e11164bcc930e648144def90d~mv2.jpg,Electromechanical Components,Rotary,Rotary,093121-1-05N,09A30-01-1-05N,Grayhill,Bulk,Lead Time,18 weeks,0,1,1,42.33,0,Yes,EAR 99,,https://www.grayhill.com/documents/09-Datasheet
492,https://static.wixstatic.com/media/7db2d6_dc24254e11164bcc930e648144def90d~mv2.jpg,Electromechanical Components,Rotary,Rotary,093121-1-06N,09A30-01-1-06N,Grayhill,Bulk,Lead Time,18 weeks,0,1,1,42.68,0,Yes,EAR 99,,https://www.grayhill.com/documents/09-Datasheet
493,https://static.wixstatic.com/media/7db2d6_dc24254e11164bcc930e648144def90d~mv2.jpg,Electromechanical Components,Rotary,Rotary,093121-2-03N,,Grayhill,Bulk,Lead Time,18 weeks,0,1,1,0,0,Yes,EAR 99,,https://www.grayhill.com/documents/09-Datasheet
494,https://static.wixstatic.com/media/7db2d6_dc24254e11164bcc930e648144def90d~mv2.jpg,Electromechanical Components,Rotary,Rotary,093121-2-06N,,Grayhill,Bulk,Lead Time,18 weeks,0,1,1,0,0,Yes,EAR 99,,https://www.grayhill.com/documents/09-Datasheet
495,https://static.wixstatic.com/media/7db2d6_dc24254e11164bcc930e648144def90d~mv2.jpg,Electromechanical Components,Rotary,Rotary,093121-3-03N,,Grayhill,Bulk,Lead Time,18 weeks,0,1,1,0,0,Yes,EAR 99,,https://www.grayhill.com/documents/09-Datasheet
496,https://static.wixstatic.com/media/7db2d6_dc24254e11164bcc930e648144def90d~mv2.jpg,Electromechanical Components,Rotary,Rotary,093121-3-04N,,Grayhill,Bulk,Lead Time,18 weeks,0,1,1,0,0,Yes,EAR 99,,https://www.grayhill.com/documents/09-Datasheet
497,https://static.wixstatic.com/media/7db2d6_dc24254e11164bcc930e648144def90d~mv2.jpg,Electromechanical Components,Rotary,Rotary,093121-3-04S,,Grayhill,Bulk,Lead Time,18 weeks,0,1,1,0,0,Yes,EAR 99,,https://www.grayhill.com/documents/09-Datasheet
498,https://static.wixstatic.com/media/7db2d6_dc24254e11164bcc930e648144def90d~mv2.jpg,Electromechanical Components,Rotary,Rotary,093121-4-02N,,Grayhill,Bulk,Lead Time,18 weeks,0,1,1,0,0,Yes,EAR 99,,https://www.grayhill.com/documents/09-Datasheet
499,https://static.wixstatic.com/media/7db2d6_dc24254e11164bcc930e648144def90d~mv2.jpg,Electromechanical Components,Rotary,Rotary,093121-4-03N,,Grayhill,Bulk,Lead Time,18 weeks,0,1,1,0,0,Yes,EAR 99,,https://www.grayhill.com/documents/09-Datasheet
500,https://static.wixstatic.com/media/7db2d6_dc24254e11164bcc930e648144def90d~mv2.jpg,Electromechanical Components,Rotary,Rotary,093121-5-02N,09A30-01-5-02N,Grayhill,Bulk,Lead Time,18 weeks,0,1,10,65.97,0,Yes,EAR 99,,https://www.grayhill.com/documents/09-Datasheet
,https://static.wixstatic.com/media/7db2d6_dc24254e11164bcc930e648144def90d~mv2.jpg,Electromechanical Components,Rotary,Rotary,093121-6-02N,,Grayhill,Bulk,Lead Time,18 weeks,,1,10,0,0,Yes,EAR 99,,https://www.grayhill.com/documents/09-Datasheet
,https://static.wixstatic.com/media/7db2d6_dc24254e11164bcc930e648144def90d~mv2.jpg,Electromechanical Components,Rotary,Rotary,093122-1-04N,09A30-02-1-04N,Grayhill,Bulk,Lead Time,18 weeks,,1,10,50.91,0,Yes,EAR 99,,https://www.grayhill.com/documents/09-Datasheet
,https://static.wixstatic.com/media/7db2d6_dc24254e11164bcc930e648144def90d~mv2.jpg,Electromechanical Components,Rotary,Rotary,093122-1-06N,,Grayhill,Bulk,Lead Time,18 weeks,,1,10,0,0,Yes,EAR 99,,https://www.grayhill.com/documents/09-Datasheet
,https://static.wixstatic.com/media/7db2d6_dc24254e11164bcc930e648144def90d~mv2.jpg,Electromechanical Components,Rotary,Rotary,093122-2-04N,,Grayhill,Bulk,Lead Time,18 weeks,,1,10,0,0,Yes,EAR 99,,https://www.grayhill.com/documents/09-Datasheet
,https://static.wixstatic.com/media/7db2d6_dc24254e11164bcc930e648144def90d~mv2.jpg,Electromechanical Components,Rotary,Rotary,093122-3-03N,,Grayhill,Bulk,Lead Time,18 weeks,,1,10,0,0,Yes,EAR 99,,https://www.grayhill.com/documents/09-Datasheet
,https://static.wixstatic.com/media/7db2d6_dc24254e11164bcc930e648144def90d~mv2.jpg,Electromechanical Components,Rotary,Rotary,093122-3-04N,,Grayhill,Bulk,Lead Time,18 weeks,,1,10,0,0,Yes,EAR 99,,https://www.grayhill.com/documents/09-Datasheet
,https://static.wixstatic.com/media/7db2d6_dc24254e11164bcc930e648144def90d~mv2.jpg,Electromechanical Components,Rotary,Rotary,093123-1-06S,09A30-03-1-06S,Grayhill,Bulk,Lead Time,18 weeks,,1,10,55.49,0,Yes,EAR 99,,https://www.grayhill.com/documents/09-Datasheet
,https://static.wixstatic.com/media/7db2d6_dc24254e11164bcc930e648144def90d~mv2.jpg,Electromechanical Components,Rotary,Rotary,093561-1-04N,,Grayhill,Bulk,Lead Time,18 weeks,,1,10,0,0,Yes,EAR 99,,https://www.grayhill.com/documents/09-Datasheet
,https://static.wixstatic.com/media/7db2d6_dc24254e11164bcc930e648144def90d~mv2.jpg,Electromechanical Components,Rotary,Rotary,093561-1-05N,,Grayhill,Bulk,Lead Time,18 weeks,,1,10,0,0,Yes,EAR 99,,https://www.grayhill.com/documents/09-Datasheet
,https://static.wixstatic.com/media/7db2d6_dc24254e11164bcc930e648144def90d~mv2.jpg,Electromechanical Components,Rotary,Rotary,093561-1-05S,,Grayhill,Bulk,Lead Time,18 weeks,,1,10,0,0,Yes,EAR 99,,https://www.grayhill.com/documents/09-Datasheet
,https://static.wixstatic.com/media/7db2d6_dc24254e11164bcc930e648144def90d~mv2.jpg,Electromechanical Components,Rotary,Rotary,093561-2-03N,09M30-01-2-03N,Grayhill,Bulk,Lead Time,18 weeks,,1,10,55.54,0,Yes,EAR 99,,https://www.grayhill.com/documents/09-Datasheet
,https://static.wixstatic.com/media/7db2d6_dc24254e11164bcc930e648144def90d~mv2.jpg,Electromechanical Components,Rotary,Rotary,093561-2-05N,,Grayhill,Bulk,Lead Time,18 weeks,,1,10,0,0,Yes,EAR 99,,https://www.grayhill.com/documents/09-Datasheet
,https://static.wixstatic.com/media/7db2d6_dc24254e11164bcc930e648144def90d~mv2.jpg,Electromechanical Components,Rotary,Rotary,093561-2-06S,,Grayhill,Bulk,Lead Time,18 weeks,,1,10,0,0,Yes,EAR 99,,https://www.grayhill.com/documents/09-Datasheet
,https://static.wixstatic.com/media/7db2d6_dc24254e11164bcc930e648144def90d~mv2.jpg,Electromechanical Components,Rotary,Rotary,093561-3-03S,,Grayhill,Bulk,Lead Time,18 weeks,,1,10,0,0,Yes,EAR 99,,https://www.grayhill.com/documents/09-Datasheet
,https://static.wixstatic.com/media/7db2d6_dc24254e11164bcc930e648144def90d~mv2.jpg,Electromechanical Components,Rotary,Rotary,093562-1-03N,,Grayhill,Bulk,Lead Time,18 weeks,,1,10,0,0,Yes,EAR 99,,https://www.grayhill.com/documents/09-Datasheet
,https://static.wixstatic.com/media/7db2d6_dc24254e11164bcc930e648144def90d~mv2.jpg,Electromechanical Components,Rotary,Rotary,09A30-01-1-02N,09A30-01-1-02N,Grayhill,Bulk,Lead Time,18 weeks,,1,10,34.73,0,Yes,EAR 99,,https://www.grayhill.com/documents/09-Datasheet
,https://static.wixstatic.com/media/7db2d6_dc24254e11164bcc930e648144def90d~mv2.jpg,Electromechanical Components,Rotary,Rotary,09A30-01-1-02S,,Grayhill,Bulk,Lead Time,18 weeks,,1,10,0,0,Yes,EAR 99,,https://www.grayhill.com/documents/09-Datasheet
,https://static.wixstatic.com/media/7db2d6_dc24254e11164bcc930e648144def90d~mv2.jpg,Electromechanical Components,Rotary,Rotary,09A30-01-1-03N,09A30-01-1-03N,Grayhill,Bulk,Lead Time,18 weeks,,1,10,35.07,0,Yes,EAR 99,,https://www.grayhill.com/documents/09-Datasheet
,https://static.wixstatic.com/media/7db2d6_dc24254e11164bcc930e648144def90d~mv2.jpg,Electromechanical Components,Rotary,Rotary,09A30-01-1-04N,09A30-01-1-04N,Grayhill,Bulk,Lead Time,18 weeks,,1,10,35.44,0,Yes,EAR 99,,https://www.grayhill.com/documents/09-Datasheet
,https://static.wixstatic.com/media/7db2d6_dc24254e11164bcc930e648144def90d~mv2.jpg,Electromechanical Components,Rotary,Rotary,09A30-01-1-05N,09A30-01-1-05N,Grayhill,Bulk,Lead Time,18 weeks,,1,10,35.81,0,Yes,EAR 99,,https://www.grayhill.com/documents/09-Datasheet
,https://static.wixstatic.com/media/7db2d6_dc24254e11164bcc930e648144def90d~mv2.jpg,Electromechanical Components,Rotary,Rotary,09A30-01-1-05S,,Grayhill,Bulk,Lead Time,18 weeks,,1,10,0,0,Yes,EAR 99,,https://www.grayhill.com/documents/09-Datasheet
,https://static.wixstatic.com/media/7db2d6_dc24254e11164bcc930e648144def90d~mv2.jpg,Electromechanical Components,Rotary,Rotary,09A30-01-1-06N,,Grayhill,Bulk,Lead Time,18 weeks,,1,10,0,0,Yes,EAR 99,,https://www.grayhill.com/documents/09-Datasheet
,https://static.wixstatic.com/media/7db2d6_dc24254e11164bcc930e648144def90d~mv2.jpg,Electromechanical Components,Rotary,Rotary,09A30-01-1-07N,09A30-01-1-07N,Grayhill,Bulk,Lead Time,18 weeks,,1,10,36.5,0,Yes,EAR 99,,https://www.grayhill.com/documents/09-Datasheet
,https://static.wixstatic.com/media/7db2d6_dc24254e11164bcc930e648144def90d~mv2.jpg,Electromechanical Components,Rotary,Rotary,09A30-01-1-08N,09A30-01-1-08N,Grayhill,Bulk,Lead Time,18 weeks,,1,10,36.84,0,Yes,EAR 99,,https://www.grayhill.com/documents/09-Datasheet
,https://static.wixstatic.com/media/7db2d6_dc24254e11164bcc930e648144def90d~mv2.jpg,Electromechanical Components,Rotary,Rotary,09A30-01-1-09N,,Grayhill,Bulk,Lead Time,18 weeks,,1,10,0,0,Yes,EAR 99,,https://www.grayhill.com/documents/09-Datasheet
,https://static.wixstatic.com/media/7db2d6_dc24254e11164bcc930e648144def90d~mv2.jpg,Electromechanical Components,Rotary,Rotary,09A30-01-1-10N,09A30-01-1-10N,Grayhill,Bulk,Lead Time,18 weeks,,1,10,37.62,0,Yes,EAR 99,,https://www.grayhill.com/documents/09-Datasheet
,https://static.wixstatic.com/media/7db2d6_dc24254e11164bcc930e648144def90d~mv2.jpg,Electromechanical Components,Rotary,Rotary,09A30-01-1-11N,09A30-01-1-11N,Grayhill,Bulk,Lead Time,18 weeks,,1,10,37.95,0,Yes,EAR 99,,https://www.grayhill.com/documents/09-Datasheet
,https://static.wixstatic.com/media/7db2d6_dc24254e11164bcc930e648144def90d~mv2.jpg,Electromechanical Components,Rotary,Rotary,09A30-01-1-11S,,Grayhill,Bulk,Lead Time,18 weeks,,1,10,0,0,Yes,EAR 99,,https://www.grayhill.com/documents/09-Datasheet
,https://static.wixstatic.com/media/7db2d6_dc24254e11164bcc930e648144def90d~mv2.jpg,Electromechanical Components,Rotary,Rotary,09A30-01-1-12N,09A30-01-1-12N-C,Grayhill,Bulk,Lead Time,18 weeks,,1,10,38.31,0,Yes,EAR 99,,https://www.grayhill.com/documents/09-Datasheet
,https://static.wixstatic.com/media/7db2d6_dc24254e11164bcc930e648144def90d~mv2.jpg,Electromechanical Components,Rotary,Rotary,09A30-01-1-12S,,Grayhill,Bulk,Lead Time,18 weeks,,1,10,0,0,Yes,EAR 99,,https://www.grayhill.com/documents/09-Datasheet
,https://static.wixstatic.com/media/7db2d6_dc24254e11164bcc930e648144def90d~mv2.jpg,Electromechanical Components,Rotary,Rotary,09A30-01-2-02N,,Grayhill,Bulk,Lead Time,18 weeks,,1,10,0,0,Yes,EAR 99,,https://www.grayhill.com/documents/09-Datasheet
,https://static.wixstatic.com/media/7db2d6_dc24254e11164bcc930e648144def90d~mv2.jpg,Electromechanical Components,Rotary,Rotary,09A30-01-2-03N,09A30-01-2-03N,Grayhill,Bulk,Lead Time,18 weeks,,1,10,38.66,0,Yes,EAR 99,,https://www.grayhill.com/documents/09-Datasheet
,https://static.wixstatic.com/media/7db2d6_dc24254e11164bcc930e648144def90d~mv2.jpg,Electromechanical Components,Rotary,Rotary,09A30-01-2-03S,09A30-01-2-03S,Grayhill,Bulk,Lead Time,18 weeks,,1,10,38.66,0,Yes,EAR 99,,https://www.grayhill.com/documents/09-Datasheet
,https://static.wixstatic.com/media/7db2d6_dc24254e11164bcc930e648144def90d~mv2.jpg,Electromechanical Components,Rotary,Rotary,09A30-01-2-04N,09A30-01-2-04N,Grayhill,Bulk,Lead Time,18 weeks,,1,10,39.41,0,Yes,EAR 99,,https://www.grayhill.com/documents/09-Datasheet
,https://static.wixstatic.com/media/7db2d6_dc24254e11164bcc930e648144def90d~mv2.jpg,Electromechanical Components,Rotary,Rotary,09A30-01-2-05N,09A30-01-2-05N,Grayhill,Bulk,Lead Time,18 weeks,,1,10,40.11,0,Yes,EAR 99,,https://www.grayhill.com/documents/09-Datasheet
,https://static.wixstatic.com/media/7db2d6_dc24254e11164bcc930e648144def90d~mv2.jpg,Electromechanical Components,Rotary,Rotary,09A30-01-2-05S,,Grayhill,Bulk,Lead Time,18 weeks,,1,10,0,0,Yes,EAR 99,,https://www.grayhill.com/documents/09-Datasheet
,https://static.wixstatic.com/media/7db2d6_dc24254e11164bcc930e648144def90d~mv2.jpg,Electromechanical Components,Rotary,Rotary,09A30-01-2-06N,09A30-01-2-06N,Grayhill,Bulk,Lead Time,18 weeks,,1,10,40.85,0,Yes,EAR 99,,https://www.grayhill.com/documents/09-Datasheet
,https://static.wixstatic.com/media/7db2d6_dc24254e11164bcc930e648144def90d~mv2.jpg,Electromechanical Components,Rotary,Rotary,09A30-01-2-06S,,Grayhill,Bulk,Lead Time,18 weeks,,1,10,0,0,Yes,EAR 99,,https://www.grayhill.com/documents/09-Datasheet
,https://static.wixstatic.com/media/7db2d6_dc24254e11164bcc930e648144def90d~mv2.jpg,Electromechanical Components,Rotary,Rotary,09A30-01-3-02N,09A30-01-3-02N,Grayhill,Bulk,Lead Time,18 weeks,,1,10,50.22,0,Yes,EAR 99,,https://www.grayhill.com/documents/09-Datasheet
,https://static.wixstatic.com/media/7db2d6_dc24254e11164bcc930e648144def90d~mv2.jpg,Electromechanical Components,Rotary,Rotary,09A30-01-3-03N,09A30-01-3-03N,Grayhill,Bulk,Lead Time,18 weeks,,1,10,51.6,0,Yes,EAR 99,,https://www.grayhill.com/documents/09-Datasheet
,https://static.wixstatic.com/media/7db2d6_dc24254e11164bcc930e648144def90d~mv2.jpg,Electromechanical Components,Rotary,Rotary,09A30-01-3-03S,,Grayhill,Bulk,Lead Time,18 weeks,,1,10,0,0,Yes,EAR 99,,https://www.grayhill.com/documents/09-Datasheet
,https://static.wixstatic.com/media/7db2d6_dc24254e11164bcc930e648144def90d~mv2.jpg,Electromechanical Components,Rotary,Rotary,09A30-01-3-04N,09A30-01-3-04N,Grayhill,Bulk,Lead Time,18 weeks,,1,10,52.89,0,Yes,EAR 99,,https://www.grayhill.com/documents/09-Datasheet
,https://static.wixstatic.com/media/7db2d6_dc24254e11164bcc930e648144def90d~mv2.jpg,Electromechanical Components,Rotary,Rotary,09A30-01-3-04S,,Grayhill,Bulk,Lead Time,18 weeks,,1,10,0,0,Yes,EAR 99,,https://www.grayhill.com/documents/09-Datasheet
,https://static.wixstatic.com/media/7db2d6_dc24254e11164bcc930e648144def90d~mv2.jpg,Electromechanical Components,Rotary,Rotary,09A30-01-4-02N,,Grayhill,Bulk,Lead Time,18 weeks,,1,10,0,0,Yes,EAR 99,,https://www.grayhill.com/documents/09-Datasheet
,https://static.wixstatic.com/media/7db2d6_dc24254e11164bcc930e648144def90d~mv2.jpg,Electromechanical Components,Rotary,Rotary,09A30-01-4-02S,,Grayhill,Bulk,Lead Time,18 weeks,,1,10,0,0,Yes,EAR 99,,https://www.grayhill.com/documents/09-Datasheet
,https://static.wixstatic.com/media/7db2d6_dc24254e11164bcc930e648144def90d~mv2.jpg,Electromechanical Components,Rotary,Rotary,09A30-01-4-03N,09A30-01-4-03N,Grayhill,Bulk,Lead Time,18 weeks,,1,10,55.4,0,Yes,EAR 99,,https://www.grayhill.com/documents/09-Datasheet
,https://static.wixstatic.com/media/7db2d6_dc24254e11164bcc930e648144def90d~mv2.jpg,Electromechanical Components,Rotary,Rotary,09A30-01-4-03S,,Grayhill,Bulk,Lead Time,18 weeks,,1,10,0,0,Yes,EAR 99,,https://www.grayhill.com/documents/09-Datasheet
,https://static.wixstatic.com/media/7db2d6_dc24254e11164bcc930e648144def90d~mv2.jpg,Electromechanical Components,Rotary,Rotary,09A30-01-5-02N,,Grayhill,Bulk,Lead Time,18 weeks,,1,10,0,0,Yes,EAR 99,,https://www.grayhill.com/documents/09-Datasheet
,https://static.wixstatic.com/media/7db2d6_dc24254e11164bcc930e648144def90d~mv2.jpg,Electromechanical Components,Rotary,Rotary,09A30-01-6-02N,09A30-01-6-02N,Grayhill,Bulk,Lead Time,18 weeks,,1,10,60.43,0,Yes,EAR 99,,https://www.grayhill.com/documents/09-Datasheet
,https://static.wixstatic.com/media/7db2d6_dc24254e11164bcc930e648144def90d~mv2.jpg,Electromechanical Components,Rotary,Rotary,09A30-01-6-02S,,Grayhill,Bulk,Lead Time,18 weeks,,1,10,0,0,Yes,EAR 99,,https://www.grayhill.com/documents/09-Datasheet
,https://static.wixstatic.com/media/7db2d6_dc24254e11164bcc930e648144def90d~mv2.jpg,Electromechanical Components,Rotary,Rotary,09A30-01B12N,,Grayhill,Bulk,Lead Time,18 weeks,,1,10,0,0,Yes,EAR 99,,https://www.grayhill.com/documents/09-Datasheet
,https://static.wixstatic.com/media/7db2d6_dc24254e11164bcc930e648144def90d~mv2.jpg,Electromechanical Components,Rotary,Rotary,09A30-01B12S,,Grayhill,Bulk,Lead Time,18 weeks,,1,10,0,0,Yes,EAR 99,,https://www.grayhill.com/documents/09-Datasheet
,https://static.wixstatic.com/media/7db2d6_dc24254e11164bcc930e648144def90d~mv2.jpg,Electromechanical Components,Rotary,Rotary,09A30-02-1-02N,09A30-02-1-02N,Grayhill,Bulk,Lead Time,18 weeks,,1,10,42.98,0,Yes,EAR 99,,https://www.grayhill.com/documents/09-Datasheet
,https://static.wixstatic.com/media/7db2d6_dc24254e11164bcc930e648144def90d~mv2.jpg,Electromechanical Components,Rotary,Rotary,09A30-02-1-03N,,Grayhill,Bulk,Lead Time,18 weeks,,1,10,0,0,Yes,EAR 99,,https://www.grayhill.com/documents/09-Datasheet
,https://static.wixstatic.com/media/7db2d6_dc24254e11164bcc930e648144def90d~mv2.jpg,Electromechanical Components,Rotary,Rotary,09A30-02-1-04N,,Grayhill,Bulk,Lead Time,18 weeks,,1,10,0,0,Yes,EAR 99,,https://www.grayhill.com/documents/09-Datasheet
,https://static.wixstatic.com/media/7db2d6_dc24254e11164bcc930e648144def90d~mv2.jpg,Electromechanical Components,Rotary,Rotary,09A30-02-1-05N,,Grayhill,Bulk,Lead Time,18 weeks,,1,10,0,0,Yes,EAR 99,,https://www.grayhill.com/documents/09-Datasheet
,https://static.wixstatic.com/media/7db2d6_dc24254e11164bcc930e648144def90d~mv2.jpg,Electromechanical Components,Rotary,Rotary,09A30-02-1-05S,,Grayhill,Bulk,Lead Time,18 weeks,,1,10,0,0,Yes,EAR 99,,https://www.grayhill.com/documents/09-Datasheet
,https://static.wixstatic.com/media/7db2d6_dc24254e11164bcc930e648144def90d~mv2.jpg,Electromechanical Components,Rotary,Rotary,09A30-02-1-06N,09A30-02-1-06N,Grayhill,Bulk,Lead Time,18 weeks,,1,10,45.81,0,Yes,EAR 99,,https://www.grayhill.com/documents/09-Datasheet
,https://static.wixstatic.com/media/7db2d6_dc24254e11164bcc930e648144def90d~mv2.jpg,Electromechanical Components,Rotary,Rotary,09A30-02-1-07N,,Grayhill,Bulk,Lead Time,18 weeks,,1,10,0,0,Yes,EAR 99,,https://www.grayhill.com/documents/09-Datasheet
,https://static.wixstatic.com/media/7db2d6_dc24254e11164bcc930e648144def90d~mv2.jpg,Electromechanical Components,Rotary,Rotary,09A30-02-1-07S,,Grayhill,Bulk,Lead Time,18 weeks,,1,10,0,0,Yes,EAR 99,,https://www.grayhill.com/documents/09-Datasheet
,https://static.wixstatic.com/media/7db2d6_dc24254e11164bcc930e648144def90d~mv2.jpg,Electromechanical Components,Rotary,Rotary,09A30-02-1-08N,,Grayhill,Bulk,Lead Time,18 weeks,,1,10,0,0,Yes,EAR 99,,https://www.grayhill.com/documents/09-Datasheet
,https://static.wixstatic.com/media/7db2d6_dc24254e11164bcc930e648144def90d~mv2.jpg,Electromechanical Components,Rotary,Rotary,09A30-02-1-09N,09A30-02-1-09N,Grayhill,Bulk,Lead Time,18 weeks,,1,10,47.99,0,Yes,EAR 99,,https://www.grayhill.com/documents/09-Datasheet
,https://static.wixstatic.com/media/7db2d6_dc24254e11164bcc930e648144def90d~mv2.jpg,Electromechanical Components,Rotary,Rotary,09A30-02-1-09S,,Grayhill,Bulk,Lead Time,18 weeks,,1,10,0,0,Yes,EAR 99,,https://www.grayhill.com/documents/09-Datasheet
,https://static.wixstatic.com/media/7db2d6_dc24254e11164bcc930e648144def90d~mv2.jpg,Electromechanical Components,Rotary,Rotary,09A30-02-1-10N,09A30-02-1-10N,Grayhill,Bulk,Lead Time,18 weeks,,1,10,48.68,0,Yes,EAR 99,,https://www.grayhill.com/documents/09-Datasheet
,https://static.wixstatic.com/media/7db2d6_dc24254e11164bcc930e648144def90d~mv2.jpg,Electromechanical Components,Rotary,Rotary,09A30-02-1-10S,09A30-02-1-10S,Grayhill,Bulk,Lead Time,18 weeks,,1,10,48.68,0,Yes,EAR 99,,https://www.grayhill.com/documents/09-Datasheet
,https://static.wixstatic.com/media/7db2d6_dc24254e11164bcc930e648144def90d~mv2.jpg,Electromechanical Components,Rotary,Rotary,09A30-02-1-11N,,Grayhill,Bulk,Lead Time,18 weeks,,1,10,0,0,Yes,EAR 99,,https://www.grayhill.com/documents/09-Datasheet
,https://static.wixstatic.com/media/7db2d6_dc24254e11164bcc930e648144def90d~mv2.jpg,Electromechanical Components,Rotary,Rotary,09A30-02-1-11S,,Grayhill,Bulk,Lead Time,18 weeks,,1,10,0,0,Yes,EAR 99,,https://www.grayhill.com/documents/09-Datasheet
,https://static.wixstatic.com/media/7db2d6_dc24254e11164bcc930e648144def90d~mv2.jpg,Electromechanical Components,Rotary,Rotary,09A30-02-1-12N,09A30-02-1-12N-C,Grayhill,Bulk,Lead Time,18 weeks,,1,10,50.11,0,Yes,EAR 99,,https://www.grayhill.com/documents/09-Datasheet
,https://static.wixstatic.com/media/7db2d6_dc24254e11164bcc930e648144def90d~mv2.jpg,Electromechanical Components,Rotary,Rotary,09A30-02-2-02N,,Grayhill,Bulk,Lead Time,18 weeks,,1,10,0,0,Yes,EAR 99,,https://www.grayhill.com/documents/09-Datasheet
,https://static.wixstatic.com/media/7db2d6_dc24254e11164bcc930e648144def90d~mv2.jpg,Electromechanical Components,Rotary,Rotary,09A30-02-2-02S,,Grayhill,Bulk,Lead Time,18 weeks,,1,10,0,0,Yes,EAR 99,,https://www.grayhill.com/documents/09-Datasheet
,https://static.wixstatic.com/media/7db2d6_dc24254e11164bcc930e648144def90d~mv2.jpg,Electromechanical Components,Rotary,Rotary,09A30-02-2-03N,09A30-02-2-03N,Grayhill,Bulk,Lead Time,18 weeks,,1,10,50.85,0,Yes,EAR 99,,https://www.grayhill.com/documents/09-Datasheet
,https://static.wixstatic.com/media/7db2d6_dc24254e11164bcc930e648144def90d~mv2.jpg,Electromechanical Components,Rotary,Rotary,09A30-02-2-03S,,Grayhill,Bulk,Lead Time,18 weeks,,1,10,0,0,Yes,EAR 99,,https://www.grayhill.com/documents/09-Datasheet
,https://static.wixstatic.com/media/7db2d6_dc24254e11164bcc930e648144def90d~mv2.jpg,Electromechanical Components,Rotary,Rotary,09A30-02-2-04N,,Grayhill,Bulk,Lead Time,18 weeks,,1,10,0,0,Yes,EAR 99,,https://www.grayhill.com/documents/09-Datasheet
,https://static.wixstatic.com/media/7db2d6_dc24254e11164bcc930e648144def90d~mv2.jpg,Electromechanical Components,Rotary,Rotary,09A30-02-2-04S,,Grayhill,Bulk,Lead Time,18 weeks,,1,10,0,0,Yes,EAR 99,,https://www.grayhill.com/documents/09-Datasheet
,https://static.wixstatic.com/media/7db2d6_dc24254e11164bcc930e648144def90d~mv2.jpg,Electromechanical Components,Rotary,Rotary,09A30-02-2-05N,,Grayhill,Bulk,Lead Time,18 weeks,,1,10,0,0,Yes,EAR 99,,https://www.grayhill.com/documents/09-Datasheet
,https://static.wixstatic.com/media/7db2d6_dc24254e11164bcc930e648144def90d~mv2.jpg,Electromechanical Components,Rotary,Rotary,09A30-02-2-05S,,Grayhill,Bulk,Lead Time,18 weeks,,1,10,0,0,Yes,EAR 99,,https://www.grayhill.com/documents/09-Datasheet
,https://static.wixstatic.com/media/7db2d6_dc24254e11164bcc930e648144def90d~mv2.jpg,Electromechanical Components,Rotary,Rotary,09A30-02-2-06N,09A30-02-2-06N,Grayhill,Bulk,Lead Time,18 weeks,,1,10,55.15,0,Yes,EAR 99,,https://www.grayhill.com/documents/09-Datasheet
