Sr. no,Product Photo,Group Category,Product Category,Product Sub-Category,Manufacturer Part No,Short Description,Manufacturer Name,Available packaging,Stock Status,Lead Time,Quantity Available,Qty Min,Qty Multiple,Price,Technical Specification,ROHS,ECCM,HSCode,Datasheet Link,COO,Series
1057,,Wireless & Memory,"Memory Cards, Modules","Solid State Drives (SSDs), Hard Disk Drives (HDDs)",APSDM008GS3AN-AT,SATA3 DISK MODULE 7-PIN/180 DEGR,"APACER TECHNOLOGY, INC.",Bulk,Lead time,8 Weeks,,500,500,,"{""Memory Size"":"" 8GB"","" Memory Type"":"" FLASH - NAND (SLC)"","" Form Factor"":"" Disk-On-Module"","" SATA DOM"","" Speed - Read"":"" 42MB/s"","" Speed - Write"":"" 37MB/s"","" Voltage - Supply"":"" 5V"","" Type"":"" SATA III"","" Current - Max"":"" 125mA (Typ)"","" Operating Temperature"":"" 0C ~ 70C"","" Size / Dimension"":"" 1700mm x 4000mm x 610mm"","" Base Part Number"":"" "","" RoHS Status"":"" ROHS3 Compliant"","" Standard Package"":"" 500""}",Yes,EAR99,85371000,http://eflash.apacerus.com/spec/SATA/Module/SDM5/SDM5_7P180D_Slim2_20140717.pdf,,
1058,,Wireless & Memory,"Memory Cards, Modules","Solid State Drives (SSDs), Hard Disk Drives (HDDs)",APSDM032GA2AN-CTM1,SATA3 DISK MODULE 7-PIN/180 DEGR,"APACER TECHNOLOGY, INC.",Bulk,Lead time,8 Weeks,,1,1,,"{""Memory Size"":"" 32GB"","" Memory Type"":"" FLASH - NAND (MLC)"","" Form Factor"":"" Disk-On-Module"","" SATA DOM"","" Speed - Read"":"" 125MB/s"","" Speed - Write"":"" 40MB/s"","" Voltage - Supply"":"" 5V"","" Type"":"" SATA III"","" Current - Max"":"" 160mA (Typ)"","" Operating Temperature"":"" 0C ~ 70C"","" Size / Dimension"":"" 3000mm x 2780mm x 820mm"","" Base Part Number"":"" "","" RoHS Status"":"" ROHS3 Compliant"","" Standard Package"":"" 1""}",Yes,EAR99,85371000,,,
1059,,Wireless & Memory,"Memory Cards, Modules","Solid State Drives (SSDs), Hard Disk Drives (HDDs)",APSDM032GB2AN-CTM1,SATA3 DISK MODULE 7-PIN/180 DEGR,"APACER TECHNOLOGY, INC.",Bulk,Lead time,8 Weeks,,1,1,,"{""Memory Size"":"" 32GB"","" Memory Type"":"" FLASH - NAND (MLC)"","" Form Factor"":"" Disk-On-Module"","" SATA DOM"","" Speed - Read"":"" 125MB/s"","" Speed - Write"":"" 40MB/s"","" Voltage - Supply"":"" 5V"","" Type"":"" SATA III"","" Current - Max"":"" 160mA (Typ)"","" Operating Temperature"":"" 0C ~ 70C"","" Size / Dimension"":"" 3250mm x 2940mm x 853mm"","" Base Part Number"":"" "","" RoHS Status"":"" ROHS3 Compliant"","" Standard Package"":"" 1""}",Yes,EAR99,85371000,,,
1060,,Wireless & Memory,"Memory Cards, Modules","Solid State Drives (SSDs), Hard Disk Drives (HDDs)",APSDM032GK2AN-CTM1,SATA3 DISK MODULE 7-PIN/180 DEGR,"APACER TECHNOLOGY, INC.",Bulk,Lead time,8 Weeks,,1,1,,"{""Memory Size"":"" 32GB"","" Memory Type"":"" FLASH - NAND (MLC)"","" Form Factor"":"" Disk-On-Module"","" SATA DOM"","" Speed - Read"":"" 125MB/s"","" Speed - Write"":"" 40MB/s"","" Voltage - Supply"":"" 5V"","" Type"":"" SATA III"","" Current - Max"":"" 160mA (Typ)"","" Operating Temperature"":"" 0C ~ 70C"","" Size / Dimension"":"" 4140mm x 1980mm x 750mm"","" Base Part Number"":"" "","" RoHS Status"":"" ROHS3 Compliant"","" Standard Package"":"" 1""}",Yes,EAR99,85371000,http://eflash.apacerus.com/spec/SATA/Module/SDM5A-M/SDM5A-M_7P180D_Slim2_15nm_APSDMxxxGX2AXX-CXXXXXX_Spec_rev1.2.pdf,,
1061,,Wireless & Memory,"Memory Cards, Modules","Solid State Drives (SSDs), Hard Disk Drives (HDDs)",APP060G8JC-ATV,SSD MINI PCIE EXPRESS 3DTLC 60GB,"APACER TECHNOLOGY, INC.",Bulk,Lead time,18 Weeks,,1,1,,"{""Memory Size"":"" 60GB"","" Memory Type"":"" FLASH - NAND (TLC)"","" Form Factor"":"" Disk-On-Module"","" mPCIe 20"","" Speed - Read"":"" 395MB/s"","" Speed - Write"":"" 255MB/s"","" Voltage - Supply"":"" 33V"","" Type"":"" ATA"","" Current - Max"":"" 580mA"","" Operating Temperature"":"" 0C ~ 70C"","" Size / Dimension"":"" 5080mm x 2985mm x 420mm"","" Base Part Number"":"" "","" RoHS Status"":"" ROHS3 Compliant"","" Standard Package"":"" 1"","" Other Names"":"" 1582-APP060G8JC-ATV""}",Yes,EAR99,85371000,,,
1062,,Wireless & Memory,"Memory Cards, Modules","Solid State Drives (SSDs), Hard Disk Drives (HDDs)",APSDM032GS2AN-CTM1,SATA3 DISK MODULE 7-PIN/180 DEGR,"APACER TECHNOLOGY, INC.",Bulk,Lead time,8 Weeks,,1,1,,"{""Memory Size"":"" 32GB"","" Memory Type"":"" FLASH - NAND (MLC)"","" Form Factor"":"" Disk-On-Module"","" SATA DOM"","" Speed - Read"":"" 125MB/s"","" Speed - Write"":"" 40MB/s"","" Voltage - Supply"":"" 5V"","" Type"":"" SATA III"","" Current - Max"":"" 160mA (Typ)"","" Operating Temperature"":"" 0C ~ 70C"","" Size / Dimension"":"" 4140mm x 1980mm x 750mm"","" Base Part Number"":"" "","" RoHS Status"":"" ROHS3 Compliant"","" Standard Package"":"" 1""}",Yes,EAR99,85371000,http://eflash.apacerus.com/spec/SATA/Module/SDM5A-M/SDM5A-M_7P180D_Slim2_15nm_APSDMxxxGX2AXX-CXXXXXX_Spec_rev1.2.pdf,,
1063,https://www.digikey.com/Photos/Apacer%20Photos/APS25A47032G-3BTM.jpg,Wireless & Memory,"Memory Cards, Modules","Solid State Drives (SSDs), Hard Disk Drives (HDDs)",APS25A47032G-3BTM,"SSD 32GB 2.5"" MLC SATA III 5V","APACER TECHNOLOGY, INC.",Bulk,Lead time,,,1,1,,"{""Memory Size"":"" 32GB"","" Memory Type"":"" FLASH - NAND (MLC)"","" Form Factor"":"" 25"""","" Speed - Read"":"" 380MB/s"","" Speed - Write"":"" 85MB/s"","" Voltage - Supply"":"" 5V"","" Type"":"" SATA III"","" Current - Max"":"" 240mA (Typ)"","" Operating Temperature"":"" 0C ~ 70C"","" Weight"":"" -"","" Size / Dimension"":"" 1000mm x 6985mm x 690mm"","" Base Part Number"":"" "","" RoHS Status"":"" ROHS3 Compliant"","" Moisture Sensitivity Level (MSL)"":"" 1 (Unlimited)"","" Standard Package"":"" 1"","" Other Names"":"" 1582-1248""}",Yes,EAR99,85371000,http://eflash.apacerus.com/spec/SATA/Drive/SFD25A-M.pdf,,
1064,https://www.digikey.com/Photos/Apacer%20Photos/MFG_AP-ISD08GCD4A-3T.jpg,Wireless & Memory,"Memory Cards, Modules",FLASH,AP-ISD08GCD4A-3T,MEMORY CARD SDHC 8GB SLC,"APACER TECHNOLOGY, INC.",Bulk,Lead time,,,1,1,,"{""Memory Type"":"" Type"","" Memory Size"":"" "","" Speed"":"" "","" Technology"":"" Apacer Memory America"","" Operating Temperature"":"" -"","" RoHS Status"":"" "","" Moisture Sensitivity Level (MSL)"":"" Discontinued at Digi-Key"","" Standard Package"":"" SDHC"","" Other Names"":"" 8GB""}",Yes,EAR99,85371000,http://eflash.apacerus.com/spec/Card/SD/EDM_ISD.pdf,,
1065,https://www.digikey.com/Photos/Apacer%20Photos/AP-ISD064GCA-1CTM.jpg,Wireless & Memory,"Memory Cards, Modules",FLASH,AP-ISD064GCA-1CTM,MEMORY CARD SD 64GB MLC,"APACER TECHNOLOGY, INC.",Bulk,Lead time,,,1,1,,"{""Memory Type"":"" SD"","" Memory Size"":"" 64GB"","" Speed"":"" -"","" Technology"":"" MLC"","" Operating Temperature"":"" -25C ~ 85C"","" RoHS Status"":"" ROHS3 Compliant"","" Moisture Sensitivity Level (MSL)"":"" 1 (Unlimited)"","" Standard Package"":"" 1"","" Other Names"":"" 1582-1077""}",Yes,EAR99,85371000,http://eflash.apacerus.com/spec/Card/SD/Online%20version%20Datasheets/EDM_ISD_H1-M.pdf,,
1066,https://www.digikey.com/Photos/Apacer%20Photos/MFG_AP-ISD16GID4B-3C.jpg,Wireless & Memory,"Memory Cards, Modules",FLASH,AP-ISD16GID4B-3C,MEMORY CARD SDHC 16GB SLC,"APACER TECHNOLOGY, INC.",Bulk,Lead time,,,1,1,,"{""Memory Type"":"" Type"","" Memory Size"":"" "","" Speed"":"" "","" Technology"":"" Apacer Memory America"","" Operating Temperature"":"" -"","" RoHS Status"":"" "","" Moisture Sensitivity Level (MSL)"":"" Discontinued at Digi-Key"","" Standard Package"":"" SDHC"","" Other Names"":"" 16GB""}",Yes,EAR99,85371000,http://eflash.apacerus.com/spec/Card/SD/EDM_ISD.pdf,,
