Product Photo,Group Category ,Product Category ,Product Sub-Category,Manufacturer Name,Available packaging,Stock Status,ROHS,ECCN,Lead Time,HSCode,Short Description,Price,Technical Specification,Datasheet Link,Manufacturer Part No,Quantity Available,Qty Multiple,Qty Min,COO,Series
//media.digikey.com/Photos/Hirose%20Elect%20Photos/AT-Series.jpg,Interconnect,RF/IF and RFID,Attenuators,"HIROSE ELECTRIC CO., LTD.",Bulk,Lead time ,Yes,EAR99,16 weeks,85437099,RF ATTENUATOR 2DB 50OHM SMA,,"{’Attenuation Value’: ’2dB’, ’Frequency Range’: ’2dB’, ’Power (Watts)’: ’2dB’, ’Impedance’: ’2dB’, ’Package / Case’: ’2dB’, ’RoHS Status’: ’2dB’, ’Moisture Sensitivity Level (MSL)’: ’2dB’, ’Standard Package’: ’2dB’, ’Other Names’: ’2dB’}",,AT-102V,,20,20,,
//media.digikey.com/Photos/Hirose%20Elect%20Photos/AT-Series.jpg,Interconnect,RF/IF and RFID,Attenuators,"HIROSE ELECTRIC CO., LTD.",Bulk,Lead time ,Yes,EAR99,16 weeks,85437099,RF ATTENUATOR 15DB 50OHM SMA,,"{’Attenuation Value’: ’15dB’, ’Frequency Range’: ’15dB’, ’Power (Watts)’: ’15dB’, ’Impedance’: ’15dB’, ’Package / Case’: ’15dB’, ’RoHS Status’: ’15dB’, ’Moisture Sensitivity Level (MSL)’: ’15dB’, ’Standard Package’: ’15dB’, ’Other Names’: ’15dB’}",,AT-115V,,20,20,,
//media.digikey.com/Photos/Hirose%20Elect%20Photos/AT-Series.jpg,Interconnect,RF/IF and RFID,Attenuators,"HIROSE ELECTRIC CO., LTD.",Bulk,Lead time ,Yes,EAR99,16 weeks,85437099,RF ATTENUATOR 1DB 50OHM SMA,,"{’Attenuation Value’: ’1dB’, ’Frequency Range’: ’1dB’, ’Power (Watts)’: ’1dB’, ’Impedance’: ’1dB’, ’Package / Case’: ’1dB’, ’RoHS Status’: ’1dB’, ’Moisture Sensitivity Level (MSL)’: ’1dB’, ’Standard Package’: ’1dB’, ’Other Names’: ’1dB’}",,AT-101V,,20,20,,
,Interconnect,Tools,Fiber Optics and Accessories,"HIROSE ELECTRIC CO., LTD.",Bulk,Lead time ,No,EAR99,,90139090,TOOL ASSY,,"{’RoHS Status’: ’RoHS non-compliant’, ’Moisture Sensitivity Level (MSL)’: ’RoHS non-compliant’, ’Standard Package’: ’RoHS non-compliant’, ’Other Names’: ’RoHS non-compliant’}",,MF10/CVMD2,,1,1,,
,Interconnect,Tools,Fiber Optics and Accessories,"HIROSE ELECTRIC CO., LTD.",Bulk,Lead time ,No,EAR99,,90139090,PLUG ASSY TOOL,,"{’RoHS Status’: ’RoHS non-compliant’, ’Moisture Sensitivity Level (MSL)’: ’RoHS non-compliant’, ’Standard Package’: ’RoHS non-compliant’, ’Other Names’: ’RoHS non-compliant’}",,MF10B-WP7C01-0200/CVMD,,1,1,,
,Interconnect,Tools,Fiber Optics and Accessories,"HIROSE ELECTRIC CO., LTD.",Bulk,Lead time ,No,EAR99,,90139090,TOOL ASSY,,"{’RoHS Status’: ’RoHS non-compliant’, ’Moisture Sensitivity Level (MSL)’: ’RoHS non-compliant’, ’Standard Package’: ’RoHS non-compliant’, ’Other Names’: ’RoHS non-compliant’}",,MF10/CVMD,,1,1,,
//media.digikey.com/Photos/Hirose%20Elect%20Photos/AT-Series.jpg,Interconnect,RF/IF and RFID,Attenuators,"HIROSE ELECTRIC CO., LTD.",Bulk,Lead time ,Yes,EAR99,16 weeks,85437099,RF ATTENUATOR 4DB 50OHM SMA,,"{’Attenuation Value’: ’4dB’, ’Frequency Range’: ’4dB’, ’Power (Watts)’: ’4dB’, ’Impedance’: ’4dB’, ’Package / Case’: ’4dB’, ’RoHS Status’: ’4dB’, ’Moisture Sensitivity Level (MSL)’: ’4dB’, ’Standard Package’: ’4dB’, ’Other Names’: ’4dB’}",,AT-104V,,20,20,,
//media.digikey.com/Photos/Hirose%20Elect%20Photos/HV-AT(x)-PJ.jpg,Interconnect,RF/IF and RFID,Attenuators,"HIROSE ELECTRIC CO., LTD.",Tray,Lead time ,Yes,EAR99,16 weeks,85437099,RF ATTENUATOR 2DB 50OHM 1.85MM,,"{’Attenuation Value’: ’2dB’, ’Frequency Range’: ’2dB’, ’Power (Watts)’: ’2dB’, ’Impedance’: ’2dB’, ’Package / Case’: ’2dB’, ’RoHS Status’: ’2dB’, ’Moisture Sensitivity Level (MSL)’: ’2dB’, ’Standard Package’: ’2dB’, ’Other Names’: ’2dB’}",,HV-AT(2)-PJ,,1,1,,
//media.digikey.com/Photos/Hirose%20Elect%20Photos/MFG_AT-500%20Series.jpg,Interconnect,RF/IF and RFID,Attenuators,"HIROSE ELECTRIC CO., LTD.",Bulk,Lead time ,Yes,EAR99,16 weeks,85437099,RF ATTENUATOR 20DB 50OHM BNC,,"{’Attenuation Value’: ’20dB’, ’Frequency Range’: ’20dB’, ’Power (Watts)’: ’20dB’, ’Impedance’: ’20dB’, ’Package / Case’: ’20dB’, ’RoHS Status’: ’20dB’, ’Moisture Sensitivity Level (MSL)’: ’20dB’, ’Standard Package’: ’20dB’, ’Other Names’: ’20dB’}",,AT-520(40),,10,10,,
//media.digikey.com/Photos/Hirose%20Elect%20Photos/AT-Series.jpg,Interconnect,RF/IF and RFID,Attenuators,"HIROSE ELECTRIC CO., LTD.",Bulk,Lead time ,Yes,EAR99,16 weeks,85437099,RF ATTENUATOR 7DB 50OHM SMA,,"{’Attenuation Value’: ’7dB’, ’Frequency Range’: ’7dB’, ’Power (Watts)’: ’7dB’, ’Impedance’: ’7dB’, ’Package / Case’: ’7dB’, ’RoHS Status’: ’7dB’, ’Moisture Sensitivity Level (MSL)’: ’7dB’, ’Standard Package’: ’7dB’, ’Other Names’: ’7dB’}",,AT-107V,,20,20,,
//media.digikey.com/Photos/Hirose%20Elect%20Photos/MFG_AT-500%20Series.jpg,Interconnect,RF/IF and RFID,Attenuators,"HIROSE ELECTRIC CO., LTD.",Bulk,Lead time ,Yes,EAR99,16 weeks,85437099,RF ATTENUATOR 10DB 50OHM BNC,,"{’Attenuation Value’: ’10dB’, ’Frequency Range’: ’10dB’, ’Power (Watts)’: ’10dB’, ’Impedance’: ’10dB’, ’Package / Case’: ’10dB’, ’RoHS Status’: ’10dB’, ’Moisture Sensitivity Level (MSL)’: ’10dB’, ’Standard Package’: ’10dB’, ’Other Names’: ’10dB’}",,AT-510(40),,10,10,,
//media.digikey.com/Photos/Hirose%20Elect%20Photos/AT-Series.jpg,Interconnect,RF/IF and RFID,Attenuators,"HIROSE ELECTRIC CO., LTD.",Bulk,Lead time ,Yes,EAR99,16 weeks,85437099,RF ATTENUATOR 3DB 50OHM SMA,,"{’Attenuation Value’: ’3dB’, ’Frequency Range’: ’3dB’, ’Power (Watts)’: ’3dB’, ’Impedance’: ’3dB’, ’Package / Case’: ’3dB’, ’RoHS Status’: ’3dB’, ’Moisture Sensitivity Level (MSL)’: ’3dB’, ’Standard Package’: ’3dB’, ’Other Names’: ’3dB’}",,AT-103V,,20,20,,
//media.digikey.com/Photos/Hirose%20Elect%20Photos/HK-AT(x)-PJ.jpg,Interconnect,RF/IF and RFID,Attenuators,"HIROSE ELECTRIC CO., LTD.",Tray,Lead time ,Yes,EAR99,16 weeks,85437099,RF ATTENUATOR 0DB 50OHM 2.92MM,,"{’Attenuation Value’: ’0dB’, ’Frequency Range’: ’0dB’, ’Power (Watts)’: ’0dB’, ’Impedance’: ’0dB’, ’Package / Case’: ’0dB’, ’RoHS Status’: ’0dB’, ’Moisture Sensitivity Level (MSL)’: ’0dB’, ’Standard Package’: ’0dB’, ’Other Names’: ’0dB’}",,HK-AT(0)-PJ,,1,1,,
//media.digikey.com/Photos/Hirose%20Elect%20Photos/HK-AT(x)-PJ.jpg,Interconnect,RF/IF and RFID,Attenuators,"HIROSE ELECTRIC CO., LTD.",Tray,Lead time ,Yes,EAR99,16 weeks,85437099,RF ATTENUATOR 3DB 50OHM 2.92MM,,"{’Attenuation Value’: ’3dB’, ’Frequency Range’: ’3dB’, ’Power (Watts)’: ’3dB’, ’Impedance’: ’3dB’, ’Package / Case’: ’3dB’, ’RoHS Status’: ’3dB’, ’Moisture Sensitivity Level (MSL)’: ’3dB’, ’Standard Package’: ’3dB’, ’Other Names’: ’3dB’}",,HK-AT(3)-PJ,,1,1,,
//media.digikey.com/Photos/Hirose%20Elect%20Photos/HK-AT(x)-PJ.jpg,Interconnect,RF/IF and RFID,Attenuators,"HIROSE ELECTRIC CO., LTD.",Tray,Lead time ,Yes,EAR99,16 weeks,85437099,RF ATTENUATOR 1DB 50OHM 2.92MM,,"{’Attenuation Value’: ’1dB’, ’Frequency Range’: ’1dB’, ’Power (Watts)’: ’1dB’, ’Impedance’: ’1dB’, ’Package / Case’: ’1dB’, ’RoHS Status’: ’1dB’, ’Moisture Sensitivity Level (MSL)’: ’1dB’, ’Standard Package’: ’1dB’, ’Other Names’: ’1dB’}",,HK-AT(1)-PJ,,1,1,,
//media.digikey.com/Photos/Hirose%20Elect%20Photos/HK-AT(x)-PJ.jpg,Interconnect,RF/IF and RFID,Attenuators,"HIROSE ELECTRIC CO., LTD.",Tray,Lead time ,Yes,EAR99,16 weeks,85437099,RF ATTENUATOR 2DB 50OHM 2.92MM,,"{’Attenuation Value’: ’2dB’, ’Frequency Range’: ’2dB’, ’Power (Watts)’: ’2dB’, ’Impedance’: ’2dB’, ’Package / Case’: ’2dB’, ’RoHS Status’: ’2dB’, ’Moisture Sensitivity Level (MSL)’: ’2dB’, ’Standard Package’: ’2dB’, ’Other Names’: ’2dB’}",,HK-AT(2)-PJ,,1,1,,
//media.digikey.com/Photos/Hirose%20Elect%20Photos/HK-AT(x)-PJ.jpg,Interconnect,RF/IF and RFID,Attenuators,"HIROSE ELECTRIC CO., LTD.",Tray,Lead time ,Yes,EAR99,16 weeks,85437099,RF ATTENUATOR 6DB 50OHM 2.92MM,,"{’Attenuation Value’: ’6dB’, ’Frequency Range’: ’6dB’, ’Power (Watts)’: ’6dB’, ’Impedance’: ’6dB’, ’Package / Case’: ’6dB’, ’RoHS Status’: ’6dB’, ’Moisture Sensitivity Level (MSL)’: ’6dB’, ’Standard Package’: ’6dB’, ’Other Names’: ’6dB’}",,HK-AT(6)-PJ,,1,1,,
//media.digikey.com/Photos/Hirose%20Elect%20Photos/HK-AT(x)-PJ.jpg,Interconnect,RF/IF and RFID,Attenuators,"HIROSE ELECTRIC CO., LTD.",Tray,Lead time ,Yes,EAR99,16 weeks,85437099,RF ATTENUATOR 4DB 50OHM 2.92MM,,"{’Attenuation Value’: ’4dB’, ’Frequency Range’: ’4dB’, ’Power (Watts)’: ’4dB’, ’Impedance’: ’4dB’, ’Package / Case’: ’4dB’, ’RoHS Status’: ’4dB’, ’Moisture Sensitivity Level (MSL)’: ’4dB’, ’Standard Package’: ’4dB’, ’Other Names’: ’4dB’}",,HK-AT(4)-PJ,,1,1,,
