Product_photo,Group Category,product_category,product_Subcategory,Manufacturer,Packaging,Stock Status,RoHS,ECCN,Manufacturer Part No.,Lead time,HSCode,Description,Price,Technical Specification,Datasheets,Quantity Available,Qty Multiple,Qty Min,COO,Series
,Interconnect,Tools,Fiber Optics and Accessories,"HIROSE ELECTRIC CO., LTD.",Bulk,Lead time ,No,EAR99,MF10/CVMD,,90139090,TOOL ASSY,,"{’RoHS Status’: ’RoHS non-compliant’, ’Moisture Sensitivity Level (MSL)’: ’RoHS non-compliant’, ’Standard Package’: ’RoHS non-compliant’, ’Other Names’: ’RoHS non-compliant’}",,,1,1,,
//media.digikey.com/Photos/Hirose%20Elect%20Photos/AT-Series.jpg,Interconnect,RF/IF and RFID,Attenuators,"HIROSE ELECTRIC CO., LTD.",Bulk,Lead time ,Yes,EAR99,AT-104V,16 weeks,85437099,RF ATTENUATOR 4DB 50OHM SMA,,"{’Attenuation Value’: ’4dB’, ’Frequency Range’: ’4dB’, ’Power (Watts)’: ’4dB’, ’Impedance’: ’4dB’, ’Package / Case’: ’4dB’, ’RoHS Status’: ’4dB’, ’Moisture Sensitivity Level (MSL)’: ’4dB’, ’Standard Package’: ’4dB’, ’Other Names’: ’4dB’}",,,20,20,,
//media.digikey.com/Photos/Hirose%20Elect%20Photos/HV-AT(x)-PJ.jpg,Interconnect,RF/IF and RFID,Attenuators,"HIROSE ELECTRIC CO., LTD.",Tray,Lead time ,Yes,EAR99,HV-AT(2)-PJ,16 weeks,85437099,RF ATTENUATOR 2DB 50OHM 1.85MM,,"{’Attenuation Value’: ’2dB’, ’Frequency Range’: ’2dB’, ’Power (Watts)’: ’2dB’, ’Impedance’: ’2dB’, ’Package / Case’: ’2dB’, ’RoHS Status’: ’2dB’, ’Moisture Sensitivity Level (MSL)’: ’2dB’, ’Standard Package’: ’2dB’, ’Other Names’: ’2dB’}",,,1,1,,
//media.digikey.com/Photos/Hirose%20Elect%20Photos/MFG_AT-500%20Series.jpg,Interconnect,RF/IF and RFID,Attenuators,"HIROSE ELECTRIC CO., LTD.",Bulk,Lead time ,Yes,EAR99,AT-520(40),16 weeks,85437099,RF ATTENUATOR 20DB 50OHM BNC,,"{’Attenuation Value’: ’20dB’, ’Frequency Range’: ’20dB’, ’Power (Watts)’: ’20dB’, ’Impedance’: ’20dB’, ’Package / Case’: ’20dB’, ’RoHS Status’: ’20dB’, ’Moisture Sensitivity Level (MSL)’: ’20dB’, ’Standard Package’: ’20dB’, ’Other Names’: ’20dB’}",,,10,10,,
//media.digikey.com/Photos/Hirose%20Elect%20Photos/AT-Series.jpg,Interconnect,RF/IF and RFID,Attenuators,"HIROSE ELECTRIC CO., LTD.",Bulk,Lead time ,Yes,EAR99,AT-107V,16 weeks,85437099,RF ATTENUATOR 7DB 50OHM SMA,,"{’Attenuation Value’: ’7dB’, ’Frequency Range’: ’7dB’, ’Power (Watts)’: ’7dB’, ’Impedance’: ’7dB’, ’Package / Case’: ’7dB’, ’RoHS Status’: ’7dB’, ’Moisture Sensitivity Level (MSL)’: ’7dB’, ’Standard Package’: ’7dB’, ’Other Names’: ’7dB’}",,,20,20,,
//media.digikey.com/Photos/Hirose%20Elect%20Photos/MFG_AT-500%20Series.jpg,Interconnect,RF/IF and RFID,Attenuators,"HIROSE ELECTRIC CO., LTD.",Bulk,Lead time ,Yes,EAR99,AT-510(40),16 weeks,85437099,RF ATTENUATOR 10DB 50OHM BNC,,"{’Attenuation Value’: ’10dB’, ’Frequency Range’: ’10dB’, ’Power (Watts)’: ’10dB’, ’Impedance’: ’10dB’, ’Package / Case’: ’10dB’, ’RoHS Status’: ’10dB’, ’Moisture Sensitivity Level (MSL)’: ’10dB’, ’Standard Package’: ’10dB’, ’Other Names’: ’10dB’}",,,10,10,,
//media.digikey.com/Photos/Hirose%20Elect%20Photos/AT-Series.jpg,Interconnect,RF/IF and RFID,Attenuators,"HIROSE ELECTRIC CO., LTD.",Bulk,Lead time ,Yes,EAR99,AT-103V,16 weeks,85437099,RF ATTENUATOR 3DB 50OHM SMA,,"{’Attenuation Value’: ’3dB’, ’Frequency Range’: ’3dB’, ’Power (Watts)’: ’3dB’, ’Impedance’: ’3dB’, ’Package / Case’: ’3dB’, ’RoHS Status’: ’3dB’, ’Moisture Sensitivity Level (MSL)’: ’3dB’, ’Standard Package’: ’3dB’, ’Other Names’: ’3dB’}",,,20,20,,
//media.digikey.com/Photos/Hirose%20Elect%20Photos/HK-AT(x)-PJ.jpg,Interconnect,RF/IF and RFID,Attenuators,"HIROSE ELECTRIC CO., LTD.",Tray,Lead time ,Yes,EAR99,HK-AT(0)-PJ,16 weeks,85437099,RF ATTENUATOR 0DB 50OHM 2.92MM,,"{’Attenuation Value’: ’0dB’, ’Frequency Range’: ’0dB’, ’Power (Watts)’: ’0dB’, ’Impedance’: ’0dB’, ’Package / Case’: ’0dB’, ’RoHS Status’: ’0dB’, ’Moisture Sensitivity Level (MSL)’: ’0dB’, ’Standard Package’: ’0dB’, ’Other Names’: ’0dB’}",,,1,1,,
//media.digikey.com/Photos/Hirose%20Elect%20Photos/HK-AT(x)-PJ.jpg,Interconnect,RF/IF and RFID,Attenuators,"HIROSE ELECTRIC CO., LTD.",Tray,Lead time ,Yes,EAR99,HK-AT(3)-PJ,16 weeks,85437099,RF ATTENUATOR 3DB 50OHM 2.92MM,,"{’Attenuation Value’: ’3dB’, ’Frequency Range’: ’3dB’, ’Power (Watts)’: ’3dB’, ’Impedance’: ’3dB’, ’Package / Case’: ’3dB’, ’RoHS Status’: ’3dB’, ’Moisture Sensitivity Level (MSL)’: ’3dB’, ’Standard Package’: ’3dB’, ’Other Names’: ’3dB’}",,,1,1,,
//media.digikey.com/Photos/Hirose%20Elect%20Photos/HK-AT(x)-PJ.jpg,Interconnect,RF/IF and RFID,Attenuators,"HIROSE ELECTRIC CO., LTD.",Tray,Lead time ,Yes,EAR99,HK-AT(1)-PJ,16 weeks,85437099,RF ATTENUATOR 1DB 50OHM 2.92MM,,"{’Attenuation Value’: ’1dB’, ’Frequency Range’: ’1dB’, ’Power (Watts)’: ’1dB’, ’Impedance’: ’1dB’, ’Package / Case’: ’1dB’, ’RoHS Status’: ’1dB’, ’Moisture Sensitivity Level (MSL)’: ’1dB’, ’Standard Package’: ’1dB’, ’Other Names’: ’1dB’}",,,1,1,,
